place_id,name,address,category,rating,first_seen,location
ChIJ40M8ge-NQTkRprOySef_tc8,The Flamingo,"The Flamingo 4th Floor, Plot No.4 G K Tower, Gaurav Path, Ratanada Cir, Jodhpur, Rajasthan 342002, India",Non vegetarian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
ChIJVVa2p1OLQTkRfpdUNjkcvbk,NH RESTAURANT JODHPUR,"Gokul Market, Sangariya Bypass Rd, opposite Pasvnath city, Basni, Jodhpur, Rajasthan 342013, India",Family restaurant,4.9,2026-06-08 13:55,Jodhpur Rajasthan
ChIJnRa5X1aMQTkRrHhYGR-32QQ,On The Rocks,"Circuit House Rd, near Ajit Bhawan, Ajit Colony, Jodhpur, Rajasthan 342006, India",Asian fusion restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
ChIJUVxHLbeNQTkRAm3Yw3z2EHw,Indique Restaurant & Bar,"Pal Haveli, near Clock Tower Road, Pal Haveli, Ghantaghar, Gulab Sagar, Jodhpur, Rajasthan 342001, India",Continental restaurant,4.3,2026-06-08 13:55,Jodhpur Rajasthan
ChIJPz4DRLeNQTkR1cKPQTtZjjA,Indigo Restaurant,"72XC+2PP, Roof Top Gouri Haveli, Laykan Mohalla, Gulab Sagar, Jodhpur, Rajasthan 342001, India",North Indian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
ChIJicZ1y5SNQTkRic8b0ehmK-c,Chimney RJ-19 Restaurant,"Saloon House, 48, Umed Club Rd, Ajit Colony, Jodhpur, Rajasthan 342001, India",Rajasthani restaurant,4.8,2026-06-08 13:55,Jodhpur Rajasthan
ChIJUYaCLreNQTkRDNyNGKk2YMU,Gopal Roof Top Restaurant ( Rajsthani Cuisine & Lal Maas ),"Makrana Mohalla, near Mehrangarh Fort, Sodagaran Mohalla, Jodhpur, Rajasthan 342001, India",Rajasthani restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ0yl9QtiNQTkRq2MBvDKcg4Y,O High Jodhpur,"Ashoka Plaza, 34-A, Pal Rd, in front of Ashok Udyan, Keshavnagar, Jodhpur, Rajasthan 342008, India",North Indian restaurant,4.8,2026-06-08 13:55,Jodhpur Rajasthan
ChIJyUjxqguNQTkRnkuwu5kt2DE,The Olive Court,"Airport Rd, near Jeet Apartment, Ratanada, Jodhpur, Rajasthan 342011, India",North Indian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ-epkdjCMQTkRacjCGVprfCw,Hari Vedas' Jodhpur,"Plot No, 672, 11th C Rd, Above Manyavar, Sardarpura, Jodhpur, Rajasthan 342003, India",Restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ29yqABGNQTkRyHCAlDeDRLo,THE SPICE STORY II BEST VEGETARIAN FAMILY RESTAURANT II FINE DINE & ROOFTOP,"3rd Floor, Plot No. 3 , East Patel Nagar, Circuit House Rd, Ratanada, Jodhpur, Rajasthan 342011, India",Vegetarian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
ChIJa0smbf-JQTkR_bxWJQmpB6c,House of Arches,"Surya nagri dharm kata, bye pas road, Mansarover Colony, Pal, Jodhpur, Rajasthan 342014, India",North Indian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ00hecUuMQTkRqxiznbL5ubg,Kalinga Restaurant,"Near, Station Rd, Ratanada, Jodhpur, Rajasthan 342001, India",North Indian restaurant,4.2,2026-06-08 13:55,Jodhpur Rajasthan
ChIJR5sN5CuNQTkRNr8_1FACKsg,Gypsy Vegetarian Restaurant,"P No, 689, 9th C Rd, Sardarpura, Jodhpur, Rajasthan 342003, India",Vegetarian restaurant,4,2026-06-08 13:55,Jodhpur Rajasthan
ChIJUwdI4J-LQTkRqka5BxnwnSQ,The Grand Turf Pure Vegetarian Family Restaurant,"At Suraj Gardens, Near India Bulls Mall, Pali Highway, Jodhpur, Rajasthan 342001, India",Vegetarian restaurant,4.5,2026-06-08 13:55,Jodhpur Rajasthan
ChIJjRvj6ZuNQTkRtD5YAvknBII,Unaavu,"12, Krishna Nagar, Defence Lab Rd, near 5 Batti Circle, Ratanada, Jodhpur, Rajasthan 342011, India",South Indian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ29-dKkeNQTkRXo5CaICXTMk,Vegetrainian - The Train Restaurant,"Plot No. 1A, Residency Rd, opp. Polytechnic College, P.W.D Colony, Jodhpur, Rajasthan 342003, India",North Indian restaurant,4.3,2026-06-08 13:55,Jodhpur Rajasthan
ChIJV6txBjCMQTkRcsPC1bTiEZs,Tamarind Restaurant Jodhpur,"Residency Rd, near Axis Bank - Jodhpur Branch, Jaljog Chouraha, Sardarpura, Jodhpur, Rajasthan 342003, India",Restaurant,4.1,2026-06-08 13:55,Jodhpur Rajasthan
ChIJld8EDqaNQTkRtIBukUG8DL4,Baari restaurant,"Fort Rd, near ship house, Paota, Jodhpur, Rajasthan 342006, India",Indian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
ChIJ08YMIjiJQTkRra2rJ1_ZnY4,Kasturi Flavours Restaurant - Jodhpur,"Hotel Kasturi Orchid, Pal Rd, Jodhpur, Rajasthan 342014, India",Vegetarian restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
ChIJgQAeDsKNQTkRmYd-K6DKwsw,Maverick Jodhpur,"Hotel Residency Palace, near Senapati Bhawan, Ratanada, Jodhpur, Rajasthan 342011, India",Vegetarian restaurant,4.6,2026-06-08 13:55,Jodhpur Rajasthan
ChIJzcCh3kaMQTkRUeeIK1ESVH0,Rigveda’ Jodhpur,"Ground Floor, 117 Hamir Tower, PWD Rd, P.W.D Colony, Jodhpur, Rajasthan 342003, India",Vegetarian restaurant,4.4,2026-06-08 13:55,Jodhpur Rajasthan
ChIJsV05ZLqNQTkRCpE7b2l2NPs,Blue Bird Cafe & Restaurant,"Hostel Vostel, Fort Rd, Killi Khana, Makrana mohalla, Sodagaran Mohalla, Jodhpur, Rajasthan 342001, India",Restaurant,4.7,2026-06-08 13:55,Jodhpur Rajasthan
